"filename", "language", "Markdown", "JavaScript", "JSON", "CSS", "XML", "HTML", "comment", "blank", "total"
"c:\Dev\fullstack\fullstack-front\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Dev\fullstack\fullstack-front\package-lock.json", "JSON", 0, 0, 18207, 0, 0, 0, 0, 1, 18208
"c:\Dev\fullstack\fullstack-front\package.json", "JSON", 0, 0, 52, 0, 0, 0, 0, 1, 53
"c:\Dev\fullstack\fullstack-front\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Dev\fullstack\fullstack-front\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Dev\fullstack\fullstack-front\src\App.css", "CSS", 0, 0, 0, 33, 0, 0, 0, 6, 39
"c:\Dev\fullstack\fullstack-front\src\App.js", "JavaScript", 0, 163, 0, 0, 0, 0, 0, 55, 218
"c:\Dev\fullstack\fullstack-front\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Dev\fullstack\fullstack-front\src\administration\Administration.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 2, 52
"c:\Dev\fullstack\fullstack-front\src\administration\BucketAvailabilityChecker.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 6, 30
"c:\Dev\fullstack\fullstack-front\src\administration\bodies\AddBody.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 15, 98
"c:\Dev\fullstack\fullstack-front\src\administration\bodies\Bodies copy.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 7, 69
"c:\Dev\fullstack\fullstack-front\src\administration\bodies\Bodies.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 7, 61
"c:\Dev\fullstack\fullstack-front\src\administration\bodies\EditBody.js", "JavaScript", 0, 91, 0, 0, 0, 0, 1, 14, 106
"c:\Dev\fullstack\fullstack-front\src\administration\bodies\ListBody.js", "JavaScript", 0, 63, 0, 0, 0, 0, 0, 9, 72
"c:\Dev\fullstack\fullstack-front\src\administration\bodies\ViewBody.js", "JavaScript", 0, 72, 0, 0, 0, 0, 0, 14, 86
"c:\Dev\fullstack\fullstack-front\src\administration\bodytypes\AddBodytype.js", "JavaScript", 0, 69, 0, 0, 0, 0, 0, 9, 78
"c:\Dev\fullstack\fullstack-front\src\administration\bodytypes\Bodytypes.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 7, 69
"c:\Dev\fullstack\fullstack-front\src\administration\bodytypes\EditBodytype.js", "JavaScript", 0, 82, 0, 0, 0, 0, 1, 11, 94
"c:\Dev\fullstack\fullstack-front\src\administration\countries\AddCountry.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 9, 92
"c:\Dev\fullstack\fullstack-front\src\administration\countries\Countries.js", "JavaScript", 0, 71, 0, 0, 0, 0, 0, 7, 78
"c:\Dev\fullstack\fullstack-front\src\administration\countries\EditCountry.js", "JavaScript", 0, 104, 0, 0, 0, 0, 1, 12, 117
"c:\Dev\fullstack\fullstack-front\src\administration\drivetrains\AddDrivetrain.js", "JavaScript", 0, 69, 0, 0, 0, 0, 0, 9, 78
"c:\Dev\fullstack\fullstack-front\src\administration\drivetrains\Drivetrains.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 7, 69
"c:\Dev\fullstack\fullstack-front\src\administration\drivetrains\EditDrivetrain.js", "JavaScript", 0, 82, 0, 0, 0, 0, 1, 11, 94
"c:\Dev\fullstack\fullstack-front\src\administration\engineTypes\AddEngineType.js", "JavaScript", 0, 69, 0, 0, 0, 0, 0, 9, 78
"c:\Dev\fullstack\fullstack-front\src\administration\engineTypes\EditEngineType.js", "JavaScript", 0, 82, 0, 0, 0, 0, 1, 11, 94
"c:\Dev\fullstack\fullstack-front\src\administration\engineTypes\EngineTypes.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 7, 69
"c:\Dev\fullstack\fullstack-front\src\administration\engines\AddEngine.js", "JavaScript", 0, 181, 0, 0, 0, 0, 4, 29, 214
"c:\Dev\fullstack\fullstack-front\src\administration\engines\EditEngine.js", "JavaScript", 0, 211, 0, 0, 0, 0, 5, 28, 244
"c:\Dev\fullstack\fullstack-front\src\administration\engines\Engines.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 7, 61
"c:\Dev\fullstack\fullstack-front\src\administration\engines\ListEngine.js", "JavaScript", 0, 63, 0, 0, 0, 0, 0, 9, 72
"c:\Dev\fullstack\fullstack-front\src\administration\engines\ViewEngine.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 13, 94
"c:\Dev\fullstack\fullstack-front\src\administration\fuels\AddFuel.js", "JavaScript", 0, 69, 0, 0, 0, 0, 0, 9, 78
"c:\Dev\fullstack\fullstack-front\src\administration\fuels\EditFuel.js", "JavaScript", 0, 82, 0, 0, 0, 0, 1, 11, 94
"c:\Dev\fullstack\fullstack-front\src\administration\fuels\Fuels.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 7, 69
"c:\Dev\fullstack\fullstack-front\src\administration\markets\AddMarket.js", "JavaScript", 0, 87, 0, 0, 0, 0, 2, 12, 101
"c:\Dev\fullstack\fullstack-front\src\administration\markets\EditMarket.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 11, 90
"c:\Dev\fullstack\fullstack-front\src\administration\markets\Markets.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 7, 72
"c:\Dev\fullstack\fullstack-front\src\administration\roles\AddRole.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 9, 71
"c:\Dev\fullstack\fullstack-front\src\administration\roles\EditRole.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 14, 95
"c:\Dev\fullstack\fullstack-front\src\administration\roles\Roles.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 9, 92
"c:\Dev\fullstack\fullstack-front\src\administration\roles\ViewRole.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 7, 44
"c:\Dev\fullstack\fullstack-front\src\administration\transmissionTypes\AddTransmissionType.js", "JavaScript", 0, 69, 0, 0, 0, 0, 0, 9, 78
"c:\Dev\fullstack\fullstack-front\src\administration\transmissionTypes\EditTransmissionType.js", "JavaScript", 0, 82, 0, 0, 0, 0, 1, 11, 94
"c:\Dev\fullstack\fullstack-front\src\administration\transmissionTypes\TransmissionTypes.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 7, 69
"c:\Dev\fullstack\fullstack-front\src\administration\transmissions\AddTransmission.js", "JavaScript", 0, 126, 0, 0, 0, 0, 2, 23, 151
"c:\Dev\fullstack\fullstack-front\src\administration\transmissions\EditTransmission.js", "JavaScript", 0, 147, 0, 0, 0, 0, 3, 21, 171
"c:\Dev\fullstack\fullstack-front\src\administration\transmissions\ListTransmission.js", "JavaScript", 0, 63, 0, 0, 0, 0, 0, 9, 72
"c:\Dev\fullstack\fullstack-front\src\administration\transmissions\Transmissions.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 7, 61
"c:\Dev\fullstack\fullstack-front\src\administration\transmissions\ViewTransmission.js", "JavaScript", 0, 77, 0, 0, 0, 0, 0, 13, 90
"c:\Dev\fullstack\fullstack-front\src\administration\users\EditUser.js", "JavaScript", 0, 143, 0, 0, 0, 0, 1, 14, 158
"c:\Dev\fullstack\fullstack-front\src\administration\users\Users.js", "JavaScript", 0, 118, 0, 0, 0, 0, 0, 10, 128
"c:\Dev\fullstack\fullstack-front\src\administration\users\ViewUser.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 6, 60
"c:\Dev\fullstack\fullstack-front\src\autosport\Autosport.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 4, 24
"c:\Dev\fullstack\fullstack-front\src\catalog\bodystyles\AddBodystyle.js", "JavaScript", 0, 221, 0, 0, 0, 0, 6, 34, 261
"c:\Dev\fullstack\fullstack-front\src\catalog\bodystyles\EditBodystyle.js", "JavaScript", 0, 253, 0, 0, 0, 0, 1, 37, 291
"c:\Dev\fullstack\fullstack-front\src\catalog\bodystyles\ViewBodystyle.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 15, 96
"c:\Dev\fullstack\fullstack-front\src\catalog\facelifts\AddFacelift.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 11, 85
"c:\Dev\fullstack\fullstack-front\src\catalog\facelifts\EditFacelift.js", "JavaScript", 0, 127, 0, 0, 0, 0, 1, 16, 144
"c:\Dev\fullstack\fullstack-front\src\catalog\facelifts\ViewFacelift.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Dev\fullstack\fullstack-front\src\catalog\generations\AddGeneration.js", "JavaScript", 0, 126, 0, 0, 0, 0, 2, 13, 141
"c:\Dev\fullstack\fullstack-front\src\catalog\generations\EditGeneration.js", "JavaScript", 0, 168, 0, 0, 0, 0, 1, 17, 186
"c:\Dev\fullstack\fullstack-front\src\catalog\generations\ViewGeneration.js", "JavaScript", 0, 76, 0, 0, 0, 0, 1, 8, 85
"c:\Dev\fullstack\fullstack-front\src\catalog\makes\AddMake.js", "JavaScript", 0, 128, 0, 0, 0, 0, 2, 19, 149
"c:\Dev\fullstack\fullstack-front\src\catalog\makes\EditMake.js", "JavaScript", 0, 165, 0, 0, 0, 0, 1, 17, 183
"c:\Dev\fullstack\fullstack-front\src\catalog\makes\ViewMake.js", "JavaScript", 0, 86, 0, 0, 0, 0, 0, 14, 100
"c:\Dev\fullstack\fullstack-front\src\catalog\models\AddModel.js", "JavaScript", 0, 90, 0, 0, 0, 0, 0, 10, 100
"c:\Dev\fullstack\fullstack-front\src\catalog\models\EditModel.js", "JavaScript", 0, 114, 0, 0, 0, 0, 1, 16, 131
"c:\Dev\fullstack\fullstack-front\src\catalog\models\ViewModel.js", "JavaScript", 0, 53, 0, 0, 0, 0, 3, 9, 65
"c:\Dev\fullstack\fullstack-front\src\catalog\trims\AddPhoto.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 10, 64
"c:\Dev\fullstack\fullstack-front\src\catalog\trims\AddTrim.js", "JavaScript", 0, 340, 0, 0, 0, 0, 14, 38, 392
"c:\Dev\fullstack\fullstack-front\src\catalog\trims\DeletePhoto.js", "JavaScript", 0, 23, 0, 0, 0, 0, 1, 5, 29
"c:\Dev\fullstack\fullstack-front\src\catalog\trims\EditTrim.js", "JavaScript", 0, 466, 0, 0, 0, 0, 14, 52, 532
"c:\Dev\fullstack\fullstack-front\src\catalog\trims\PhotoManagement.js", "JavaScript", 0, 54, 0, 0, 0, 0, 3, 9, 66
"c:\Dev\fullstack\fullstack-front\src\catalog\trims\SetMainPhoto.js", "JavaScript", 0, 23, 0, 0, 0, 0, 1, 6, 30
"c:\Dev\fullstack\fullstack-front\src\catalog\trims\ViewTrim.js", "JavaScript", 0, 206, 0, 0, 0, 0, 0, 24, 230
"c:\Dev\fullstack\fullstack-front\src\components\ColumnContainer.css", "CSS", 0, 0, 0, 30, 0, 0, 1, 8, 39
"c:\Dev\fullstack\fullstack-front\src\components\ColumnList.css", "CSS", 0, 0, 0, 15, 0, 0, 0, 4, 19
