"filename", "language", "JSON", "JavaScript", "CSS", "HTML", "XML", "comment", "blank", "total"
"c:\Dev\fullstack\fullstack-front\package-lock.json", "JSON", 610, 0, 0, 0, 0, 0, 0, 610
"c:\Dev\fullstack\fullstack-front\package.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 8
"c:\Dev\fullstack\fullstack-front\public\favicon.svg", "XML", 0, 0, 0, 0, 55, 1, 2, 58
"c:\Dev\fullstack\fullstack-front\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Dev\fullstack\fullstack-front\src\App.js", "JavaScript", 0, 40, 0, 0, 0, 0, -3, 37
"c:\Dev\fullstack\fullstack-front\src\ProtectedRoute.js", "JavaScript", 0, 14, 0, 0, 0, 2, 5, 21
"c:\Dev\fullstack\fullstack-front\src\administration\Administration.js", "JavaScript", 0, -7, 0, 0, 0, 0, 0, -7
"c:\Dev\fullstack\fullstack-front\src\administration\BucketAvailabilityChecker.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 6
"c:\Dev\fullstack\fullstack-front\src\administration\bodies\AddBody.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 6
"c:\Dev\fullstack\fullstack-front\src\administration\bodies\Bodies copy.js", "JavaScript", 0, -62, 0, 0, 0, 0, -7, -69
"c:\Dev\fullstack\fullstack-front\src\administration\bodies\Bodies.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 6
"c:\Dev\fullstack\fullstack-front\src\administration\bodies\EditBody.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 10
"c:\Dev\fullstack\fullstack-front\src\administration\bodies\ListBody.js", "JavaScript", 0, 6, 0, 0, 0, 0, -1, 5
"c:\Dev\fullstack\fullstack-front\src\administration\bodies\ViewBody.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 6
"c:\Dev\fullstack\fullstack-front\src\administration\bodytypes\AddBodytype.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 6
"c:\Dev\fullstack\fullstack-front\src\administration\bodytypes\Bodytypes.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 22
"c:\Dev\fullstack\fullstack-front\src\administration\bodytypes\EditBodytype.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 9
"c:\Dev\fullstack\fullstack-front\src\administration\countries\AddCountry.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 6
"c:\Dev\fullstack\fullstack-front\src\administration\countries\Countries.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 22
"c:\Dev\fullstack\fullstack-front\src\administration\countries\EditCountry.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 9
"c:\Dev\fullstack\fullstack-front\src\administration\drivetrains\AddDrivetrain.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 6
"c:\Dev\fullstack\fullstack-front\src\administration\drivetrains\Drivetrains.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 22
"c:\Dev\fullstack\fullstack-front\src\administration\drivetrains\EditDrivetrain.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 10
"c:\Dev\fullstack\fullstack-front\src\administration\engineTypes\AddEngineType.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 6
"c:\Dev\fullstack\fullstack-front\src\administration\engineTypes\EditEngineType.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 9
"c:\Dev\fullstack\fullstack-front\src\administration\engineTypes\EngineTypes.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 22
