"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "XML", "HTML", "comment", "blank", "total"
"c:\Dev\fullstack\fullstack-front\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 33, 71
"c:\Dev\fullstack\fullstack-front\package-lock.json", "JSON", 18817, 0, 0, 0, 0, 0, 0, 1, 18818
"c:\Dev\fullstack\fullstack-front\package.json", "JSON", 60, 0, 0, 0, 0, 0, 0, 1, 61
"c:\Dev\fullstack\fullstack-front\public\favicon.svg", "XML", 0, 0, 0, 0, 55, 0, 1, 2, 58
"c:\Dev\fullstack\fullstack-front\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 23, 2, 45
"c:\Dev\fullstack\fullstack-front\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Dev\fullstack\fullstack-front\src\App.css", "CSS", 0, 0, 0, 33, 0, 0, 0, 6, 39
"c:\Dev\fullstack\fullstack-front\src\App.js", "JavaScript", 0, 203, 0, 0, 0, 0, 0, 52, 255
"c:\Dev\fullstack\fullstack-front\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Dev\fullstack\fullstack-front\src\ProtectedRoute.js", "JavaScript", 0, 14, 0, 0, 0, 0, 2, 5, 21
"c:\Dev\fullstack\fullstack-front\src\administration\Administration.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 2, 45
"c:\Dev\fullstack\fullstack-front\src\administration\BucketAvailabilityChecker.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 6, 36
"c:\Dev\fullstack\fullstack-front\src\administration\bodies\AddBody.js", "JavaScript", 0, 89, 0, 0, 0, 0, 0, 15, 104
"c:\Dev\fullstack\fullstack-front\src\administration\bodies\Bodies.js", "JavaScript", 0, 60, 0, 0, 0, 0, 0, 7, 67
"c:\Dev\fullstack\fullstack-front\src\administration\bodies\EditBody.js", "JavaScript", 0, 101, 0, 0, 0, 0, 1, 14, 116
